;Mean Scores
0;0.7309999836608767
1;1.6169999638572334
2;2.9524999340064824
3;3.4399999231100082
4;3.2439999274909495
5;4.211499905865639
6;4.240499905217439
7;5.489499877300114
8;6.624999851919711
9;9.000999798811971
10;9.002999798767268
11;9.558499786350875
12;11.108499751705676
13;16.01099964212626
14;18.556499585229904
15;21.928999509848655
16;24.787999445945026
17;28.171499370317907
18;30.390999320708215
19;29.027499351184815
20;33.82449924396351
21;34.1164992374368
22;33.85799924321473
23;33.31949925525114
24;33.60749924881384
25;35.453999207541344
26;35.80199919976294
27;36.069999193772674
28;35.26799921169877
29;34.33549923254177
30;34.9039992198348
31;35.96499919611961
32;37.571999160200356
33;37.02149917250499
34;36.506499184016135
35;35.958499196264896
36;36.58749918220565
37;36.1264991925098
38;36.83749917661771
39;36.87799917571247
40;37.8919991530478
41;37.142999169789256
42;37.82949915444478
43;36.9719991736114
44;37.31699916590005
45;37.23449916774407
46;37.71349915703759
47;37.04799917191267
48;38.13899914752692
49;36.86899917591363
50;36.44749918533489
51;37.861499153729525
52;35.75249920086935
53;32.75899926777929
54;23.195999481528997
55;19.288499568868428
56;16.40299963336438
57;17.879999600350857
58;18.464499587286262
59;15.926499644014985
60;15.060999663360416
61;17.11399961747229
62;23.92399946525693
63;23.356499477941544
64;24.132999460585417
65;27.656499381829054
66;32.90849926443771
67;29.267499345820397
68;23.407499476801604
69;29.02799935117364
70;28.145499370899053
71;31.886499287281186
72;34.063999238610265
73;35.563499205093834
74;34.40049923108891
75;33.35149925453588
76;33.29499925579876
77;35.81699919942766
78;37.294499166402964
79;36.340999187715354
80;37.22699916791171
81;35.11749921506271
82;35.652499203104526
83;38.49349913960323
84;38.78949913298711
85;39.00649912813678
86;39.19649912388995
87;38.593999137356874
88;38.306999143771826
89;38.89299913067371
90;37.898999152891335
91;38.6834991353564
92;38.826499132160095
93;39.212499123532325
94;39.345499120559545
95;39.00399912819266
96;39.17699912432581
97;39.365999120101336
98;39.2554991225712
99;38.77449913332239
100;39.18749912409112
101;38.50499913934618
